,song-name,lyrics,release-year,genius-path
31,Fo Sho, even if im wrong even if im wrong gonna singamy song til the break of dawn like woo   but even cause im real even cause im real even cause im real gonna peal another smash poem out a yellow legal pad for ya baby while i can   even if its sike cause i know that im right and i been doin this a long time since before i was born   and its prolly gonna be another prolly gonna be another long song prolly gonna be another long song   ,2022,/Kurt-vile-fo-sho-lyrics
33,Freeway,i got a freeway in mind let go of my head walk down my line better be sure you'll be dead i got a trumpet i know where to dump it i'm glad that you came if the sound is the same  sometimes my reckless ways shock my self system for days now i'm channelling my faze in an anacin haze but it ain't gonna do me in i know when to dump it a hole in my way again i'll surely just jump it  there was a kid in a tree among the birds and the bees between beehive and bird nest and i think you know the rest he wanted to be free with them but they weren't believing pecking and stinging him till he wasn't breathing but it ain't gonna do him in he'll just go to heaven not done just a dreamer of ten or eleven i've got a freeway in mind let go of my head walk down my line better be sure you'll be dead i got a trumpet i know where to dump it,0,/Kurt-vile-freeway-lyrics
34,Frip Job,instrumental,2009,/Kurt-vile-frip-job-lyrics
35,Ghost Town,in the morning i'm not done sleepin' in the evening i guess i'm alive but that's alright i can still peel myself up sleepwalking in a ghost town think i'll never leave my couch again 'cause when i'm out i'm on it in my mind then again i guess it ain't always that way  in the morning i'm not done sleepin' in the evening i guess i'm alive that's alright i can still peel myself up sleepwalking in a ghost town think i'll never leave my couch again 'cause when i'm out i'm on it in my mind christ was born i was there you know me i'm around i got friends hey wait where was i well i am tryin'  when i'm drivin' i find i'm dreamin' jamming tunes and drifting and it's just then sometimes i wanna pull over open up and stay and uh raindrops might fall on my head sometimes but i won't pay 'em any mind  christ was here you just missed him now i'm out going down second to all the stores to see my friends to find kinks vinyls yeah  and when i'm drinking i get to jokin' then i'm laughin' fallin' down but that's just fine and i just pick myself up and walk down ghost town raindrops might fall on my head sometimes but i don't pay 'em any mind then again i guess it ain't always that way,2011,/Kurt-vile-ghost-town-lyrics
36,Girl Called Alex, in the dawn's early light i recall a girl named alex she and mark they were happily wed hey at least in my head   i think about them all the time i think about them all the time i think about them all the time i think about them all the time   i wanna live all the time in my fantasy infinity there i will never be abandoned there i'll ever handle against everything from ever happening to them   and they hate it when i say i wanna   i wanna walk out into the night without it being running away from a bad day in my brain for the sake of a strip that i could be cruising in the comfort of a sportscar illusion ,2013,/Kurt-vile-girl-called-alex-lyrics
37,God Is Saying This To You,instrumental,2009,/Kurt-vile-god-is-saying-this-to-you-lyrics
38,Goin On A Plane Today, going on a plane today gonna chug a beer and curse my name see you on the other side either on the tarmac or the after life   things getting a little weird my mind gone foggy my memory's unclear manhood compromised watch me shrinking back into a little kid just as i'm just getting old  going on a plane today listening' to heart of gold gonna open up for neil young man life can sure be fun imagine if i knew this when i was young too   as well,2022,/Kurt-vile-goin-on-a-plane-today-lyrics
39,Goldtone,sometimes when i get in my zone you'd think i was stoned but i never as they say touched the stuff i might be adrift but i'm still alert concentrate my hurt into a gold tone golden tones  in the night when all hibernate i stay awake searching the deep dark depths of my soul tone golden tones gold tones there's a place in my heart for all of my friends some have stepped out but some check back in been livin' my life on the run from day one every day is hey so are they  but if i been lookin' back today looking back in gold tones  yeah yeah  in the night when all hibernate i stay awake searching the deep dark depths of my soul tone golden tones  yeah yeah  i been all around been up and down this round world that is always turning til some day or so they say when ahey hey i wanna hear a gold tone  sometimes as i'm floating away i wish i could stay then i arrive among the dropping flies there's a place in my heart been trying to locate it's somewhere within and it's for all them with its gold tones ,2013,/Kurt-vile-goldtone-lyrics
40,Gone Girl, she is deliciously tall sort of a long girl she is delightfully small sort of a song girl  she freely admits to the world that she was a wrong girl that's nothing compared to the fact that she is a gone girl   gone like a knock on the door gone with yesterday and before gone with the wind forevermore   she never lay claim to the fact that she was a strong girl so why should i loudly proclaim that she was a wrong girl  i'd rather think of her name as some sort of song girl and think poetical things to think of my gone girl ,2020,/Kurt-vile-gone-girl-lyrics
41,Heart Attack,you're gonna give me a heart attack you're gonna get all the   you better get your head really screwed on you better get your head really screwed on  you're gonna give me a heart attack you're gonna get all the   you better get your head really screwed on you better get your head really screwed on  you're gonna turn the white man black you're gonna turn all the brown man back you take the spotless soul of a man you take the cracks for anyone who would understand  you're gonna give me a heart attack you're gonna get all the   you better get your head really screwed on you better get your head really screwed on  you've always been the  you're  when the code is resolved you're gonna give me a heart attack we're gonna lose time  ,2009,/Kurt-vile-heart-attack-lyrics
42,He’s Alright (Bonus Track),way over there where the wind come from i swear i thought i was the only one each time i stop to get air well i'm still over there  the silhouette kid's swinging on a swing scrapes his knee and blood it brings he shows his friends he's alive as he brags and he jives hey he's alright yeah  they say makin up for lost time ain't makin up for much at all sometimes i think gettin old is oh so last year yeah  but other times i grab the bull by the horns rip em off with calloused hands sometimes you cry like a child still get up in the mornin i was a geezer just last night watchin tv and not understandin anything i scrape my face on the clouds every time i get out but that's day time  some people they use up all their cash records and such just sit around but i don't care about that people say i'm to blame i guess i think it's a shame oh but i don't care yeah,2009,/Kurt-vile-hes-alright-bonus-track-lyrics
44,"Hey, Now I’m Movin’",hey now i'm movin' oh but i got so many friends dyin' that i keep movin' movin' on back to squares aww yeah yeah yeah yeah yeah yeah yeah yeah yeah aww yeah yeah yeah yeah yeah yeah i'm movin' i get the notion oh that it's time to be goin' i see an ocean thanks cuz i'm leavin aww yeah yeah yeah yeah yeah yeah yeah yeah yeah aww yeah yeah yeah hey now i'm movin' hey now i'm movin',0,/Kurt-vile-hey-now-im-movin-lyrics
45,How Lucky, one two a one two three   today i walked down the street i used to wander yeah shook my hand and made myself a bet there was all these things that i don't think i remember hey how lucky can one man get   i bronzed my shoes and i hung 'em from a rearview mirror bronzed admiration in the blind spot of regret there was all these things that i don't think i remember hey how lucky can one man get   today i walked down the street i used to wandеr yeah scratched my head and lit my cigarеtte well there was all these things that i don't think i remember hey how lucky can one man get   today i walked down the street i used to wander yeah shook my hand and made myself a bet well there was all these things that i don't think i remember hey how lucky can one man get hey how lucky can one man get hey how lucky can one man get,2020,/Kurt-vile-how-lucky-lyrics
